Object ID,Time,X Coordinate,Y Coordinate,Z Coordinate
5987000,0,0.0,0.0,0.0
5987000,1,-0.3583783700652169,-3.7952116906167914,0.08605407268870632
5987000,2,-0.6768777368226262,-7.075246047762329,0.1777436534099283
5987000,3,-0.954900495723065,-10.652636278043888,0.2653178597001874
5987000,4,-1.1890896373378188,-13.9592408117449,0.34265422379527605
5987000,5,-1.5363866898772522,-17.59913548336201,0.42814419800021497
5987000,6,-1.9074507584765696,-21.055729120393206,0.5139438761723776
5987000,7,-2.2419040346289356,-24.225603594808447,0.599523920199008
5987000,8,-2.645494050152436,-27.99775886151835,0.6867540007387125
5987000,9,-2.9778177601352986,-31.21852515966773,0.7749881917808368
5987000,10,-3.3501984616998586,-34.55518678690667,0.8689061630414355
5987000,11,-3.6851083669058418,-38.13102111099112,0.9606492793666417
5987000,12,-3.876843068067477,-41.54603624454546,1.050135280249714
5987000,13,-4.181337185183972,-44.65465082886243,1.1450419031892676
5987000,14,-4.594024288221521,-48.13955476728625,1.2342427993375258
5987000,15,-5.110770338070465,-51.604585426590575,1.3291858490411383
5987000,16,-5.961312942021547,-55.83435343231312,1.4283891025470894
5987000,17,-6.837879905657731,-59.440967755687645,1.524943373468393
5987000,18,-7.643903692015181,-62.86975032715396,1.6081075167396077
5987000,19,-8.386368059169193,-66.06172996077902,1.7004925964118942
5987000,20,-9.202009542736196,-69.48364430757243,1.7923101973429039
5987000,21,-10.171258862771642,-73.03978958822594,1.8776102286626097
5987000,22,-10.840733760995267,-76.09391058389654,1.9757056855829813
5987000,23,-11.654246974268586,-79.84056280442829,2.058724264247454
5987000,24,-12.430900202123574,-83.27695824049633,2.1540010583669424
5987000,25,-13.234589300592152,-86.64769171643363,2.2415996887746963
5987000,26,-14.223704357819535,-90.46479699090372,2.3301208941621914
5987000,27,-15.343546667204855,-94.3473603306368,2.4220904123336844
5987000,28,-16.35616483574377,-97.59589511759604,2.5121972678005204
5987000,29,-17.5223309589958,-100.98563639028433,2.6047835369697316
5987000,30,-18.669979760209074,-104.37659222056708,2.6925227026764844
5987000,31,-19.704650751829707,-107.33926738713957,2.7869907078484775
5987000,32,-20.821799010874926,-111.0503631908242,2.8821427947091376
5987000,33,-21.885786964258607,-114.31252851873813,2.9789586239814008
5987000,34,-22.853667788298367,-117.34605089381832,3.073408739754202
5987000,35,-23.898423575456107,-120.6908146573116,3.163913074990354
5987000,36,-24.870554852390125,-123.76707949547526,3.2603821179172914
5987000,37,-25.978242568008138,-127.27136577666829,3.350227103832415
5987000,38,-27.09775133737179,-130.90982152613762,3.436421511650164
5987000,39,-28.050281679345023,-133.97401855568927,3.5210223059602224
5987000,40,-28.930983909853108,-136.7375993560796,3.6122221611848944
5987000,41,-30.087537398013918,-140.21575358890018,3.7017207484704655
5987000,42,-31.286847376930975,-143.75814602326145,3.79128470995532
5987000,43,-32.33061494872551,-146.93515234614532,3.8800153742549495
5987000,44,-33.39104321139635,-150.38179583072454,3.9724686450683833
